ID,Fuga,BehaviorScoring,LineadeCredito,SaldoTotal,Frecuency_Global,MonetaryValue_Global,Recency_Global
123,52068,0,772,2500,1838,239,299.931904761905,1
124,52146,0,452,600,278,141,696.5,14
125,53275,1,597,1700,2238,2,1204.825,158
126,54288,1,739,8300,2100,34,1907.85,21
127,54296,1,390,800,3378,28,118.369,240
128,54501,1,609,650,1068,5.5,725,348
129,54915,0,546,1400,2708,30.8,160.6,116
130,54975,0,851,4100,292,116.5,328.976666666667,31
131,56770,0,774,700,195,138,85.0528571428572,13
132,56931,1,504,1800,638,31.8888888888889,466.82,65
133,56942,1,573,700,2927,14.5,322.991333333333,196
134,57154,0,722,1300,533,37.8888888888889,180.78,23
135,57589,0,652,540,391,40,184,22
136,57689,0,714,1000,585,35.375,172.526666666667,17
137,58367,0,439,900,1063,70,199.082,52
138,58460,0,601,750,439,70.5,1009,19
139,59472,1,530,2160,199,18.5,109.133333333333,319
140,59595,1,545,1500,821,1,72.4,185
141,59845,1,740,1500,675,13.6666666666667,534,166
142,60052,1,521,2100,6312,19,297,171
143,60730,1,512,900,307,21,417.183333333333,298
144,61222,1,376,2000,2338,7,1488,232
145,61459,1,561,1080,3697,7,688.825,121
146,62693,0,742,1500,1098,96.6666666666667,181.72,2
147,63701,0,724,1300,2728,23,300.073571428571,64
148,63792,1,422,3100,5579,23.25,445.62,4
149,64674,0,610,2100,4423,30.5,853.633333333333,14
150,64855,1,527,700,309,22.1428571428571,112.675,36
151,65720,1,474,1000,2275,27.4166666666667,146.725,19
152,65869,1,558,1200,2692,30.3636363636364,400.35,14
153,66936,0,539,800,759,65.75,123.504583333333,12
154,67149,0,762,3200,783,45.7142857142857,305.975,7
155,67473,0,591,4700,3593,44.6,188.158333333333,72
156,68064,0,692,2900,2466,127,405.833333333333,2
157,68266,1,510,600,3035,13.7777777777778,28.2,93
158,68355,1,516,1300,2993,84.75,298,23
159,68476,1,510,950,4866,28.1666666666667,35.86,9
160,69049,0,604,1400,2064,107,545.3,14
161,69392,1,586,1200,1322,58,95.3628571428571,7
162,69629,0,723,3200,3785,33.25,310.1,3
163,69803,1,511,1000,1601,22.2666666666667,138.9,14
164,70346,0,613,2800,3670,63.5,1237.3,78
165,70396,1,776,1700,533,24.4285714285714,149.5,1
166,71613,1,695,800,69,13.6923076923077,116.953333333333,7
167,72087,1,617,1200,2523,15,280.995,4
168,72770,0,873,19400,753,66.3333333333333,425.946585365854,4
169,73322,0,241,600,213,31.3,71.8490909090909,45
170,73680,1,824,800,110,11,207.6075,140
171,74141,1,518,1500,971,30.3636363636364,51.95,24
172,74491,1,558,1000,986,9.75,59,10
173,74763,0,707,1900,229,39.5,112.964,0
174,75447,1,762,900,443,2,299.7,148
175,75714,1,523,1100,3399,37.3333333333333,117.125,115
176,77162,0,707,600,711,46.8333333333333,162.308461538462,24
177,79666,0,731,1400,816,70,228.6975,0
178,79929,1,450,2200,4003,14.3333333333333,568.393333333333,9
179,79991,0,736,2400,2430,31.7777777777778,173.63,0
180,80118,0,538,1200,568,47,178.15,0
181,80529,1,862,5100,4916,16,443.6,333
182,80828,1,520,700,14262,1,151.47,61
183,81508,1,668,4000,126,22.6666666666667,100.325,14
184,81848,0,880,3100,103,185,237.154285714286,17
185,82093,0,830,540,255,18.1578947368421,124.45,2
186,82126,1,645,800,714,43.5,289.333333333333,235
187,82919,1,764,4800,3998,30.3636363636364,374.33,21
188,82951,1,757,1800,358,19.8823529411765,195.966666666667,10
189,83835,1,171,1200,1105,20,81.8,228
190,83999,1,757,2300,826,30.3636363636364,355.95,9
191,84566,0,720,600,498,29.9090909090909,231.01,0
192,85169,1,680,1500,542,104,287.485,130
193,85732,0,694,1600,2564,67.2,185.606666666667,4
194,85885,1,345,1260,2348,32.75,183.316666666667,173
195,85936,0,840,1000,243,90.5,252.15,19
196,86262,0,699,900,919,20.4,316.21,17
197,86888,1,595,1700,1779,7.5,748.193333333333,219
198,87060,0,369,600,440,124,271.913333333333,4
199,88186,0,641,1100,1298,55.8,152.45,2
200,88600,1,586,1400,628,14.7083333333333,181.45,0
201,88711,0,832,3000,174,52.8333333333333,509.257142857143,35
202,89120,1,536,3420,175,9.75,316.966666666667,7
203,89420,0,548,2000,908,147,641.658333333333,29
204,90199,1,451,1260,7572,30.3636363636364,248.6,4
205,90692,1,679,1700,105,14,95.6833333333333,161
206,91123,1,767,2100,1206,23.5,56.2,259
207,91131,0,729,2200,1686,35,1674,0
208,91259,1,417,500,281,16.75,128.284,253
209,92155,0,554,1600,2577,56.4,177.078333333333,13
210,92851,0,750,6000,16073,17.2857142857143,460.642666666667,4
211,93016,1,560,1200,1239,16.1904761904762,203.825,4
212,93470,1,677,800,419,14.75,74.65,4
213,94390,0,486,750,454,55,129.768235294118,12
214,94463,0,743,1400,69,167,107.777777777778,24
215,94590,1,655,600,587,134.5,885,3
216,94869,0,703,1100,60,153,198,0
217,95977,1,696,1500,1239,191,301.5,47
218,97258,0,420,500,388,262,482.263333333333,4
219,97586,0,630,2000,3859,44,500.73375,19
220,98263,0,759,1500,4939,239,166.5,59
221,98270,0,656,3400,3988,98,188.2,12
222,98332,0,725,5300,378,79,197.45,79
223,98632,0,837,6400,514,29.6666666666667,399,12
224,98917,0,798,6400,5459,82.5,860.96,17
225,99464,1,451,800,3165,59,173.48,229
226,99847,0,614,2200,2281,56.5,165.14,12
227,100147,0,745,1000,558,44.5,167.89,170
228,100694,0,863,13800,1148,17.5454545454545,633.699166666667,159
229,100739,0,421,2900,891,240,200.2,72
230,100800,0,487,3600,3639,40.3333333333333,327.964,9
231,101045,0,733,4400,3238,343,98.75,8
232,101216,1,660,500,546,12.875,96.4911111111111,9
233,101249,0,353,2100,1992,70.5,232.62375,19
234,101534,0,765,7800,8493,57,385.3,0
235,102577,1,512,1900,15146,7,99.5,314
236,103945,1,619,9400,9639,2,104.133333333333,210
237,104500,1,542,900,1010,15.3,53.81,195
238,105457,1,539,2400,2669,21,514.7,9
239,105462,0,663,2400,2564,33.8,211.386666666667,2
240,105501,1,812,2400,167,8,145.4,4
241,105704,1,667,2150,206,8,560.5,9
242,105825,0,630,7800,4789,70.6666666666667,241.3125,2
243,107023,0,561,3500,3640,203,493.30625,4
244,107576,0,662,1400,903,68,999,22
245,108143,1,240,2400,2741,30.4,179.408,34
246,108346,0,554,1000,809,19.8333333333333,347.314615384615,75
247,109107,0,701,1200,1982,54,103.98375,26
248,109579,1,655,15000,14898,1,3140.5,273
249,110108,0,919,15700,599,79.75,299.9,23
250,111161,0,722,2600,1146,74,3122,9
251,111351,1,643,4800,5917,4,445.22,53
252,111369,1,511,720,1196,75.5,84.55,212
253,111864,0,598,2150,797,119,151.968181818182,1
254,112927,0,869,9700,745,110,509.9,18
255,113307,0,577,3300,1304,68,298.45,256
256,114654,1,744,7000,1765,10.4166666666667,99,0
257,116478,1,554,2300,3488,28.5833333333333,557,19
258,116737,0,625,2800,1189,34.1111111111111,336.682,1
259,117016,1,825,5500,52,15.8636363636364,111.15,14
260,117579,1,416,7000,7634,24,182.955,239
261,118833,0,896,4000,1231,22.3076923076923,230.815714285714,0
262,119320,1,508,800,638,17,119.45,8
263,120046,0,932,11800,1883,47.5,201.4,6
264,120645,1,681,3300,5942,13.6842105263158,47.17,98
265,120670,1,330,1200,917,29.8571428571429,376.64,51
266,120874,1,486,2400,519,12.8461538461538,104.9,4
267,121624,0,611,1400,1579,19.625,165.734677419355,28
268,121994,0,720,4800,8051,92.3333333333333,156.75,7
269,122512,0,686,2400,71,41,38.6,9
270,122613,1,355,2000,1952,19.3529411764706,101.236666666667,19
271,124798,1,784,2200,135,24.0833333333333,368.6,47
272,124844,0,595,12900,22909,55,64.925,9
273,125009,1,532,1500,5869,25.6923076923077,511.110714285714,14
274,125102,0,755,4400,873,75,95.32,17
275,125236,1,681,1400,671,60.8,202.233333333333,49
276,125545,1,715,4000,66,13.2962962962963,377.435,4
277,125552,1,674,2700,786,29,215.633333333333,197
278,125733,1,834,20000,5234,7,6635.2,119
279,126081,1,759,800,246,51,2443.145,221
280,126898,0,768,4100,425,279,478.85,3
281,128482,0,884,4300,1215,85,156.126666666667,7
282,129199,0,540,1800,1881,35.8888888888889,97.445,34
283,130310,0,600,3100,4639,24.8181818181818,536.601666666667,71
284,131059,0,819,3000,622,40.3333333333333,164.46,1
285,131991,0,700,1800,815,31.4545454545455,189.4,6
286,132603,0,744,1100,1079,56.6666666666667,143.163333333333,2
287,132805,0,686,2800,1321,87,261.8,3
288,132827,1,805,9000,1663,63,1839,16
289,132914,0,908,7200,196,16.85,238.4,19
290,133006,0,615,700,98,69.6666666666667,119.525,8
291,133507,1,507,1900,2751,105,982.075,128
292,134170,0,367,3600,3615,78.6666666666667,873.88,24
293,134222,0,576,1500,3535,173,314.45,1
294,134546,0,783,2600,5604,80,211.72875,19
295,135637,1,341,1000,803,24.5,164.1,137
296,136068,1,546,1000,848,11,774.175,145
297,136380,1,476,1000,262,14.4,141.85,258
298,137562,0,721,4000,3375,62.5,433.272,0
299,138049,0,765,4900,2189,14.6086956521739,134.946666666667,2
300,139910,1,738,700,850,14.75,82.7676,9
301,140115,1,773,2800,905,7.43478260869565,164.6,7
302,140342,1,614,800,838,25,315.9,9
303,142949,1,756,1500,700,13,62.425,178
304,143050,0,589,1530,2681,120,187.195,28
305,143323,0,805,1400,306,68.4,156.25,17
306,143339,0,523,1300,2056,230,157.8,21
307,143859,1,464,600,168,44.3333333333333,20.8625,226
308,144134,1,487,1500,1031,35.7142857142857,263.5,19
309,144802,1,700,1200,3602,21,73.73,9
310,144992,1,313,600,802,8.75,40.652,310
311,145106,0,751,2900,230,66,91.6333333333333,13
312,145194,1,562,3200,2049,13,119.5,148
313,146107,1,449,800,1610,21.25,213.5,9
314,146238,1,408,2400,4781,7.66666666666667,221.428571428571,212
315,146625,0,474,600,564,18.75,80.3922222222222,7
316,147884,0,823,8300,541,36.1,472.4,2
317,148350,1,578,1100,155,27.6363636363636,815.78,44
318,148753,0,631,700,230,24.1666666666667,97.1571428571428,4
319,149344,0,384,1200,1311,95.6666666666667,677.6,63
320,150520,0,619,500,100,172,106.91,2
321,151280,1,606,540,851,18.2857142857143,54.6175,225
322,152414,1,578,750,2112,22.3333333333333,1053.145,265
323,152734,0,622,700,2397,72.5,111.966666666667,1
324,152837,0,702,500,172,111.5,236.07,92
325,152869,1,662,800,551,16.7058823529412,113.067777777778,51
326,152917,0,593,800,769,42,113.2625,0
327,153077,1,506,1080,2113,57.25,1198,129
328,153527,1,290,1800,5499,14.5,375.45,321
329,153909,0,246,600,774,51.3333333333333,180.7,70
330,155621,0,794,500,802,93,326.768333333333,8
331,155862,1,599,900,1139,71.25,382.825,74
332,156217,0,759,5000,1155,132.5,495.185,1
333,156702,1,485,2300,7728,11.6896551724138,244.3,19
334,156819,0,834,600,600,80,546.1,2
335,157376,1,504,1600,1046,1,1271.02,224
336,157618,0,460,1500,1209,113,181.8,1
337,158006,0,536,1400,3053,173,543.07,19
338,158535,0,724,1600,147,41.5714285714286,195.8625,37
339,158562,0,643,1800,1600,65,169.28,27
340,159698,0,406,1400,1463,77.5,198.316666666667,29
341,160037,1,652,720,649,12,75.545,19
342,160190,0,671,630,274,165,126.633333333333,4
